is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,23,1,reusable,ci-reusable.yml,34715476509,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715476509,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:53:29Z,2026-09-12T19:53:45Z,2026-09-12T19:54:34Z,2026-09-12T19:55:00Z,16.0,49.0,91.0,49.0,34.0,83.0,106.0,3.0,20.0,3.0,4.0,11.0,0.0,success,success,success,
false,23,2,baseline,ci-baseline.yml,34715553582,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715553582,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:55:08Z,2026-09-12T19:55:12Z,2026-09-12T19:56:33Z,2026-09-12T19:56:41Z,4.0,81.0,93.0,81.0,25.0,106.0,111.0,3.0,36.0,2.0,2.0,7.0,1.0,success,success,success,
false,23,3,composite,ci-composite.yml,34715629549,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715629549,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:56:46Z,2026-09-12T19:57:00Z,2026-09-12T19:58:05Z,2026-09-12T19:58:14Z,14.0,65.0,88.0,50.0,29.0,79.0,85.0,3.0,20.0,4.0,4.0,10.0,0.0,success,success,success,
false,24,1,reusable,ci-reusable.yml,34715702579,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715702579,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:58:25Z,2026-09-12T19:58:29Z,2026-09-12T19:59:24Z,2026-09-12T19:59:30Z,4.0,55.0,65.0,55.0,31.0,86.0,89.0,3.0,22.0,3.0,3.0,10.0,1.0,success,success,success,
false,24,2,composite,ci-composite.yml,34715758421,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715758421,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:59:43Z,2026-09-12T19:59:47Z,2026-09-12T20:00:41Z,2026-09-12T20:00:48Z,4.0,54.0,65.0,54.0,33.0,87.0,92.0,4.0,22.0,3.0,3.0,10.0,1.0,success,success,success,
false,24,3,baseline,ci-baseline.yml,34715832008,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715832008,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:01:01Z,2026-09-12T20:01:05Z,2026-09-12T20:01:59Z,2026-09-12T20:02:14Z,4.0,54.0,73.0,54.0,35.0,89.0,93.0,4.0,23.0,3.0,3.0,11.0,1.0,success,success,success,
false,25,1,baseline,ci-baseline.yml,34715905993,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715905993,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:02:29Z,2026-09-12T20:02:34Z,2026-09-12T20:03:21Z,2026-09-12T20:03:31Z,5.0,47.0,62.0,47.0,39.0,86.0,91.0,4.0,24.0,3.0,2.0,9.0,0.0,success,success,success,
false,25,2,composite,ci-composite.yml,34715965125,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715965125,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:03:37Z,2026-09-12T20:03:41Z,2026-09-12T20:04:30Z,2026-09-12T20:04:37Z,4.0,49.0,60.0,49.0,30.0,79.0,83.0,3.0,21.0,3.0,3.0,12.0,0.0,success,success,success,
false,25,3,reusable,ci-reusable.yml,34716023104,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716023104,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:04:45Z,2026-09-12T20:04:49Z,2026-09-12T20:05:44Z,2026-09-12T20:05:50Z,4.0,55.0,65.0,55.0,34.0,89.0,93.0,2.0,18.0,2.0,4.0,9.0,1.0,success,success,success,
false,26,1,baseline,ci-baseline.yml,34716088968,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716088968,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:06:03Z,2026-09-12T20:06:06Z,2026-09-12T20:07:03Z,2026-09-12T20:07:11Z,3.0,57.0,68.0,57.0,33.0,90.0,95.0,3.0,23.0,2.0,2.0,8.0,0.0,success,success,success,
false,26,2,reusable,ci-reusable.yml,34716151115,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716151115,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:07:21Z,2026-09-12T20:07:34Z,2026-09-12T20:08:29Z,2026-09-12T20:08:39Z,13.0,55.0,78.0,54.0,30.0,84.0,90.0,4.0,22.0,3.0,4.0,10.0,0.0,success,success,success,
false,26,3,composite,ci-composite.yml,34716224715,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716224715,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:08:49Z,2026-09-12T20:08:54Z,2026-09-12T20:09:51Z,2026-09-12T20:09:57Z,5.0,57.0,68.0,57.0,32.0,89.0,93.0,3.0,21.0,2.0,2.0,8.0,1.0,success,success,success,
false,27,1,composite,ci-composite.yml,34716286781,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716286781,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:10:07Z,2026-09-12T20:10:36Z,2026-09-12T20:11:36Z,2026-09-12T20:11:44Z,29.0,60.0,97.0,60.0,31.0,91.0,96.0,2.0,24.0,3.0,4.0,10.0,0.0,success,success,success,
false,27,2,baseline,ci-baseline.yml,34716377726,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716377726,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:11:56Z,2026-09-12T20:11:59Z,2026-09-12T20:12:47Z,2026-09-12T20:13:07Z,3.0,48.0,71.0,48.0,31.0,79.0,85.0,4.0,23.0,3.0,3.0,10.0,1.0,success,success,success,
false,27,3,reusable,ci-reusable.yml,34716450937,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34716450937,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T20:13:24Z,2026-09-12T23:02:43Z,2026-09-12T23:04:05Z,2026-09-12T23:04:14Z,10159.0,82.0,10250.0,46.0,33.0,79.0,86.0,4.0,20.0,3.0,3.0,12.0,0.0,success,success,success,
false,28,1,composite,ci-composite.yml,34724436659,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724436659,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:04:25Z,2026-09-12T23:04:29Z,2026-09-12T23:05:17Z,2026-09-12T23:05:25Z,4.0,48.0,60.0,48.0,30.0,78.0,84.0,3.0,24.0,3.0,3.0,9.0,1.0,success,success,success,
false,28,2,reusable,ci-reusable.yml,34724491372,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724491372,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:05:33Z,2026-09-12T23:05:36Z,2026-09-12T23:06:29Z,2026-09-12T23:06:36Z,3.0,53.0,63.0,53.0,30.0,83.0,88.0,3.0,24.0,2.0,3.0,8.0,1.0,success,success,success,
false,28,3,baseline,ci-baseline.yml,34724550161,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724550161,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:06:50Z,2026-09-12T23:06:53Z,2026-09-12T23:07:59Z,2026-09-12T23:08:05Z,3.0,66.0,75.0,51.0,29.0,80.0,84.0,3.0,24.0,4.0,4.0,9.0,1.0,success,success,success,
false,29,1,reusable,ci-reusable.yml,34724615211,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724615211,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:08:19Z,2026-09-12T23:08:23Z,2026-09-12T23:09:17Z,2026-09-12T23:09:24Z,4.0,54.0,65.0,54.0,33.0,87.0,92.0,4.0,23.0,3.0,3.0,10.0,1.0,success,success,success,
false,29,2,baseline,ci-baseline.yml,34724669325,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724669325,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:09:36Z,2026-09-12T23:09:40Z,2026-09-12T23:10:33Z,2026-09-12T23:10:39Z,4.0,53.0,63.0,53.0,27.0,80.0,83.0,4.0,22.0,3.0,2.0,9.0,1.0,success,success,success,
false,29,3,composite,ci-composite.yml,34724722405,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724722405,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:10:44Z,2026-09-12T23:10:48Z,2026-09-12T23:11:42Z,2026-09-12T23:11:50Z,4.0,54.0,66.0,54.0,36.0,90.0,95.0,5.0,23.0,3.0,3.0,11.0,1.0,success,success,success,
false,30,1,reusable,ci-reusable.yml,34724782379,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724782379,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:12:03Z,2026-09-12T23:12:07Z,2026-09-12T23:12:56Z,2026-09-12T23:13:01Z,4.0,49.0,58.0,49.0,37.0,86.0,89.0,3.0,21.0,3.0,4.0,11.0,1.0,success,success,success,
false,30,2,composite,ci-composite.yml,34724832688,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724832688,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:13:10Z,2026-09-12T23:13:13Z,2026-09-12T23:14:03Z,2026-09-12T23:14:12Z,3.0,50.0,62.0,50.0,30.0,80.0,86.0,2.0,18.0,3.0,3.0,11.0,1.0,success,success,success,
false,30,3,baseline,ci-baseline.yml,34724881924,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34724881924,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T23:14:17Z,2026-09-12T23:14:20Z,2026-09-12T23:15:13Z,2026-09-12T23:15:21Z,3.0,53.0,64.0,52.0,33.0,85.0,90.0,3.0,24.0,2.0,2.0,7.0,0.0,success,success,success,
