is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,18,1,reusable,ci-reusable.yml,33531314407,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531314407,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:21:44Z,2026-09-01T16:21:47Z,2026-09-01T16:22:39Z,2026-09-01T16:22:47Z,3.0,52.0,63.0,51.0,29.0,80.0,85.0,5.0,20.0,4.0,5.0,10.0,1.0,success,success,success,
false,18,2,baseline,ci-baseline.yml,33531445245,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531445245,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:23:02Z,2026-09-01T16:23:05Z,2026-09-01T16:23:56Z,2026-09-01T16:24:02Z,3.0,51.0,60.0,50.0,30.0,80.0,83.0,4.0,22.0,4.0,4.0,9.0,1.0,success,success,success,
false,18,3,composite,ci-composite.yml,33531560730,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531560730,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:24:11Z,2026-09-01T16:24:15Z,2026-09-01T16:25:01Z,2026-09-01T16:25:07Z,4.0,46.0,56.0,46.0,31.0,77.0,81.0,5.0,20.0,5.0,3.0,12.0,0.0,success,success,success,
false,19,1,baseline,ci-baseline.yml,33531674488,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531674488,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:25:20Z,2026-09-01T16:25:26Z,2026-09-01T16:26:24Z,2026-09-01T16:26:34Z,6.0,58.0,74.0,58.0,35.0,93.0,100.0,2.0,20.0,3.0,4.0,11.0,1.0,success,success,success,
false,19,2,composite,ci-composite.yml,33531819793,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531819793,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:26:50Z,2026-09-01T16:26:54Z,2026-09-01T16:27:40Z,2026-09-01T16:27:46Z,4.0,46.0,56.0,46.0,26.0,72.0,76.0,5.0,21.0,4.0,4.0,10.0,1.0,success,success,success,
false,19,3,reusable,ci-reusable.yml,33531931203,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531931203,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:27:58Z,2026-09-01T16:28:03Z,2026-09-01T16:28:53Z,2026-09-01T16:29:03Z,5.0,50.0,65.0,49.0,26.0,75.0,81.0,4.0,21.0,3.0,3.0,10.0,0.0,success,success,success,
false,20,1,composite,ci-composite.yml,33532063744,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532063744,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:29:17Z,2026-09-01T16:29:21Z,2026-09-01T16:30:17Z,2026-09-01T16:30:27Z,4.0,56.0,70.0,55.0,32.0,87.0,94.0,5.0,20.0,4.0,3.0,12.0,0.0,success,success,success,
false,20,2,reusable,ci-reusable.yml,33532203388,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532203388,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:30:36Z,2026-09-01T16:30:45Z,2026-09-01T16:31:33Z,2026-09-01T16:31:43Z,9.0,48.0,67.0,48.0,30.0,78.0,85.0,4.0,20.0,4.0,3.0,10.0,1.0,success,success,success,
false,20,3,baseline,ci-baseline.yml,33532338857,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532338857,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:31:55Z,2026-09-01T16:31:59Z,2026-09-01T16:32:51Z,2026-09-01T16:32:57Z,4.0,52.0,62.0,52.0,36.0,88.0,92.0,4.0,24.0,3.0,3.0,11.0,0.0,success,success,success,
false,21,1,reusable,ci-reusable.yml,33532454313,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532454313,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:33:04Z,2026-09-01T16:33:07Z,2026-09-01T16:33:52Z,2026-09-01T16:34:01Z,3.0,45.0,57.0,45.0,29.0,74.0,80.0,5.0,21.0,4.0,3.0,8.0,1.0,success,success,success,
false,21,2,baseline,ci-baseline.yml,33532569238,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532569238,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:34:13Z,2026-09-01T16:34:17Z,2026-09-01T16:35:07Z,2026-09-01T16:35:18Z,4.0,50.0,65.0,50.0,27.0,77.0,85.0,3.0,23.0,3.0,2.0,8.0,0.0,success,success,success,
false,21,3,composite,ci-composite.yml,33532703125,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532703125,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:35:33Z,2026-09-01T16:35:37Z,2026-09-01T16:36:24Z,2026-09-01T16:36:33Z,4.0,47.0,60.0,47.0,26.0,73.0,79.0,3.0,21.0,3.0,4.0,9.0,0.0,success,success,success,
false,22,1,baseline,ci-baseline.yml,33532816354,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532816354,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:36:41Z,2026-09-01T16:36:45Z,2026-09-01T16:37:33Z,2026-09-01T16:37:41Z,4.0,48.0,60.0,48.0,33.0,81.0,86.0,3.0,21.0,3.0,3.0,11.0,1.0,success,success,success,
false,22,2,composite,ci-composite.yml,33532931322,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33532931322,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:37:51Z,2026-09-01T16:37:55Z,2026-09-01T16:38:40Z,2026-09-01T16:38:49Z,4.0,45.0,58.0,45.0,32.0,77.0,84.0,5.0,21.0,3.0,3.0,7.0,0.0,success,success,success,
false,22,3,reusable,ci-reusable.yml,33533043243,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533043243,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:38:59Z,2026-09-01T16:39:03Z,2026-09-01T16:39:50Z,2026-09-01T16:39:58Z,4.0,47.0,59.0,47.0,26.0,73.0,78.0,3.0,21.0,6.0,3.0,9.0,1.0,success,success,success,
false,23,1,composite,ci-composite.yml,33533160016,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533160016,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:40:08Z,2026-09-01T16:40:12Z,2026-09-01T16:41:02Z,2026-09-01T16:41:12Z,4.0,50.0,64.0,50.0,24.0,74.0,80.0,4.0,21.0,4.0,3.0,9.0,1.0,success,success,success,
false,23,2,reusable,ci-reusable.yml,33533300004,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533300004,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:41:27Z,2026-09-01T16:41:31Z,2026-09-01T16:42:16Z,2026-09-01T16:42:26Z,4.0,45.0,59.0,45.0,25.0,70.0,77.0,4.0,22.0,3.0,3.0,10.0,1.0,success,success,success,
false,23,3,baseline,ci-baseline.yml,33533418551,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533418551,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:42:37Z,2026-09-01T16:42:41Z,2026-09-01T16:43:38Z,2026-09-01T16:43:46Z,4.0,57.0,69.0,56.0,28.0,84.0,90.0,5.0,23.0,3.0,2.0,9.0,0.0,success,success,success,
false,24,1,reusable,ci-reusable.yml,33533548812,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533548812,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:43:56Z,2026-09-01T16:44:00Z,2026-09-01T16:44:47Z,2026-09-01T16:44:53Z,4.0,47.0,57.0,47.0,26.0,73.0,76.0,4.0,22.0,4.0,3.0,10.0,1.0,success,success,success,
false,24,2,baseline,ci-baseline.yml,33533662718,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533662718,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:45:05Z,2026-09-01T16:45:09Z,2026-09-01T16:46:00Z,2026-09-01T16:46:09Z,4.0,51.0,64.0,51.0,36.0,87.0,93.0,3.0,24.0,3.0,3.0,11.0,1.0,success,success,success,
false,24,3,composite,ci-composite.yml,33533798371,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33533798371,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:46:24Z,2026-09-01T16:46:28Z,2026-09-01T16:48:14Z,2026-09-01T16:48:21Z,4.0,106.0,117.0,106.0,26.0,132.0,137.0,4.0,59.0,4.0,4.0,9.0,0.0,success,success,success,
false,25,1,baseline,ci-baseline.yml,33534017762,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534017762,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:48:36Z,2026-09-01T16:48:40Z,2026-09-01T16:49:35Z,2026-09-01T16:49:42Z,4.0,55.0,66.0,55.0,36.0,91.0,96.0,4.0,23.0,3.0,3.0,12.0,0.0,success,success,success,
false,25,2,composite,ci-composite.yml,33534151145,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534151145,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:49:55Z,2026-09-01T16:49:59Z,2026-09-01T16:50:42Z,2026-09-01T16:50:48Z,4.0,43.0,53.0,43.0,26.0,69.0,73.0,5.0,22.0,3.0,3.0,9.0,1.0,success,success,success,
false,25,3,reusable,ci-reusable.yml,33534269584,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534269584,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:51:04Z,2026-09-01T16:51:09Z,2026-09-01T16:51:57Z,2026-09-01T16:52:03Z,5.0,48.0,59.0,47.0,28.0,75.0,78.0,5.0,21.0,4.0,4.0,10.0,1.0,success,success,success,
false,26,1,composite,ci-composite.yml,33534384980,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534384980,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:52:13Z,2026-09-01T16:52:17Z,2026-09-01T16:53:09Z,2026-09-01T16:53:20Z,4.0,52.0,67.0,52.0,30.0,82.0,90.0,3.0,21.0,4.0,3.0,11.0,1.0,success,success,success,
false,26,2,reusable,ci-reusable.yml,33534514989,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534514989,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:53:33Z,2026-09-01T16:53:37Z,2026-09-01T16:54:49Z,2026-09-01T16:54:56Z,4.0,72.0,83.0,72.0,28.0,100.0,105.0,3.0,30.0,4.0,3.0,10.0,1.0,success,success,success,
false,26,3,baseline,ci-baseline.yml,33534662036,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534662036,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:55:02Z,2026-09-01T16:55:05Z,2026-09-01T16:55:55Z,2026-09-01T16:56:02Z,3.0,50.0,60.0,49.0,29.0,78.0,83.0,3.0,22.0,4.0,3.0,10.0,0.0,success,success,success,
false,27,1,reusable,ci-reusable.yml,33534776074,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534776074,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:56:10Z,2026-09-01T16:56:14Z,2026-09-01T16:57:25Z,2026-09-01T16:57:33Z,4.0,71.0,83.0,71.0,28.0,99.0,104.0,4.0,27.0,3.0,3.0,10.0,1.0,success,success,success,
false,27,2,baseline,ci-baseline.yml,33534927214,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33534927214,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:57:40Z,2026-09-01T16:57:44Z,2026-09-01T16:58:38Z,2026-09-01T16:58:44Z,4.0,54.0,64.0,54.0,29.0,83.0,87.0,3.0,25.0,2.0,2.0,11.0,1.0,success,success,success,
